genes	logFC	logCPM	LR	PValue	FDR
AC093520.1	0.577187212741581	4.32192968197137	0.552134046238383	0.457447032725265	1
AC025165.2	0.203884561136586	9.16385761775166	0.551724633572132	0.457613864848644	1
CCDC13-AS1	-0.741230012989932	3.93903474488319	0.551687657415545	0.457628937041936	1
AC025259.1	0.23156396513921	7.10174736664182	0.551177939983454	0.457836787584053	1
AC008393.1	-0.292508047735019	5.84395336747918	0.550664271254686	0.458046400243141	1
AL136531.3	0.761984998239312	3.99894372183374	0.550574783304725	0.458082933072615	1
IBA57-DT	0.682010265797778	4.1370536496627	0.550369172577359	0.45816688965643	1
AL031316.1	-0.244492316387995	6.67834962209552	0.549996069309831	0.458319300215224	1
AL109917.1	-0.514472199115107	4.440003767678	0.549924269813552	0.45834863909392	1
AF001548.2	-0.697406004625346	4.08373269842357	0.549838959008731	0.458383502854498	1
AC242426.2	0.247611316197832	6.56523396305902	0.548746492158847	0.458830329525753	1
AC109460.2	-0.369370977642048	5.09863318505772	0.546946844539065	0.459567902256565	1
AL731563.2	-0.521990574460032	4.42502942768992	0.546940804854678	0.459570380737634	1
AC008966.1	-0.213324492238218	8.0261469479217	0.546587352563598	0.459715462417926	1
AC243960.3	-0.690194554969542	4.10105579878707	0.544865164770098	0.460423408843442	1
PCA3	-0.458357994737103	4.66687914732633	0.544701150727619	0.460490920863752	1
AC126365.1	-0.44761246616224	4.67802516547049	0.544249783990793	0.460676795069877	1
AC013714.1	0.74103693574444	4.01347545876789	0.544040055338794	0.460763202477731	1
ZEB2-AS1	0.358632777265523	5.22353541118995	0.543670165111493	0.460915658536606	1
AC015853.3	0.874689596821182	4.0090345423157	0.543075833579547	0.461160789339092	1
AL360014.1	0.711111346093845	4.08749914212564	0.543004694079155	0.461190144547375	1
AC112206.2	-0.195149870827805	12.1752351579831	0.542934038311934	0.461219303083645	1
MDC1-AS1	0.683726131556177	4.09504034892287	0.542624278923117	0.46134717052428	1
LINC01285	-0.36039824116445	5.15181714320758	0.541968223648233	0.461618173519336	1
AC097382.1	-0.708586062077462	4.03190390025551	0.541727097238461	0.461717841468911	1
AC098820.1	0.422580813790675	4.80910019729023	0.541635743287806	0.461755610931392	1
RAB30-AS1	-0.20216845304462	8.47660747930473	0.541612857174849	0.461765073756424	1
